171,"{9.5154710487931*^8}"
172,"{9.512684303229758*^8}"
173,"{9.50989809834729*^8}"
174,"{9.50711243409357*^8}"
175,"{9.50432731041647*^8}"
176,"{9.501542727263863*^8}"
177,"{9.498758684583622*^8}"
178,"{9.495975182323622*^8}"
179,"{9.493192220431732*^8}"
180,"{9.490409798855828*^8}"
181,"{9.487627917543782*^8}"
182,"{9.484846576443467*^8}"
183,"{9.482065775502757*^8}"
184,"{9.479285514669522*^8}"
185,"{9.476505793891637*^8}"
186,"{9.473726613116975*^8}"
187,"{9.470947972293409*^8}"
188,"{9.46816987136881*^8}"
189,"{9.465392310291053*^8}"
190,"{9.462615289008011*^8}"
191,"{9.459838807467556*^8}"
192,"{9.45706286561756*^8}"
193,"{9.454287463405899*^8}"
194,"{9.451512600780443*^8}"
195,"{9.448738277689065*^8}"
196,"{9.44596449407964*^8}"
197,"{9.44319124990004*^8}"
198,"{9.440418545098135*^8}"
199,"{9.437646379621804*^8}"
200,"{9.434874753418914*^8}"
201,"{9.432103666437342*^8}"
202,"{9.42933311862496*^8}"
203,"{9.42656310992964*^8}"
204,"{9.423793640299256*^8}"
205,"{9.421024709681679*^8}"
206,"{9.418256318024784*^8}"
207,"{9.415488465276445*^8}"
208,"{9.412721151384531*^8}"
209,"{9.409954376296918*^8}"
210,"{9.407188139961479*^8}"
211,"{9.404422442326086*^8}"
212,"{9.401657283338611*^8}"
213,"{9.398892662946928*^8}"
214,"{9.39612858109891*^8}"
215,"{9.39336503774243*^8}"
216,"{9.390602032825361*^8}"
217,"{9.387839566295575*^8}"
218,"{9.385077638100946*^8}"
219,"{9.382316248189347*^8}"
220,"{9.37955539650865*^8}"
221,"{9.376795083006728*^8}"
222,"{9.374035307631454*^8}"
223,"{9.371276070330703*^8}"
224,"{9.368517371052345*^8}"
225,"{9.365759209744254*^8}"
226,"{9.363001586354305*^8}"
227,"{9.360244500830367*^8}"
228,"{9.357487953120315*^8}"
229,"{9.354731943172023*^8}"
230,"{9.351976470933362*^8}"
231,"{9.349221536352206*^8}"
232,"{9.346467139376428*^8}"
233,"{9.3437132799539*^8}"
234,"{9.340959958032496*^8}"
235,"{9.338207173560089*^8}"
236,"{9.33545492648455*^8}"
237,"{9.332703216753755*^8}"
238,"{9.329952044315574*^8}"
239,"{9.327201409117883*^8}"
240,"{9.324451311108559*^8}"
241,"{9.321701750235476*^8}"
242,"{9.318952726446506*^8}"
243,"{9.316204239689523*^8}"
244,"{9.313456289912399*^8}"
245,"{9.310708877063009*^8}"
246,"{9.307962001089222*^8}"
247,"{9.305215661938915*^8}"
248,"{9.30246985955996*^8}"
249,"{9.299724593900229*^8}"
250,"{9.296979864907595*^8}"
251,"{9.294235672529932*^8}"
252,"{9.291492016715112*^8}"
253,"{9.288748897411008*^8}"
254,"{9.286006314565494*^8}"
255,"{9.283264268126441*^8}"
256,"{9.280522758041724*^8}"
257,"{9.277781784259216*^8}"
258,"{9.275041346726788*^8}"
259,"{9.272301445392314*^8}"
260,"{9.269562080203668*^8}"
261,"{9.266823251108721*^8}"
262,"{9.264084958055348*^8}"
263,"{9.261347200991421*^8}"
264,"{9.258609979864812*^8}"
265,"{9.255873294623396*^8}"
266,"{9.253137145215044*^8}"
267,"{9.25040153158763*^8}"
268,"{9.247666453689027*^8}"
269,"{9.244931911467109*^8}"
270,"{9.242197904869746*^8}"
271,"{9.239464433844813*^8}"
272,"{9.236731498340183*^8}"
273,"{9.233999098303729*^8}"
274,"{9.231267233683324*^8}"
275,"{9.228535904426839*^8}"
276,"{9.22580511048215*^8}"
277,"{9.223074851797128*^8}"
278,"{9.220345128319647*^8}"
279,"{9.217615939997579*^8}"
280,"{9.214887286778798*^8}"
281,"{9.212159168611176*^8}"
282,"{9.209431585442586*^8}"
283,"{9.206704537220901*^8}"
284,"{9.203978023893995*^8}"
285,"{9.201252045409741*^8}"
286,"{9.19852660171601*^8}"
287,"{9.195801692760677*^8}"
288,"{9.193077318491614*^8}"
289,"{9.190353478856695*^8}"
290,"{9.187630173803791*^8}"
291,"{9.184907403280777*^8}"
292,"{9.182185167235525*^8}"
293,"{9.179463465615907*^8}"
294,"{9.176742298369797*^8}"
295,"{9.174021665445069*^8}"
296,"{9.171301566789594*^8}"
297,"{9.168582002351247*^8}"
298,"{9.165862972077899*^8}"
299,"{9.163144475917424*^8}"
300,"{9.160426513817695*^8}"
301,"{9.157709085726585*^8}"
302,"{9.154992191591966*^8}"
303,"{9.152275831361712*^8}"
304,"{9.149560004983697*^8}"
305,"{9.146844712405791*^8}"
306,"{9.144129953575869*^8}"
307,"{9.141415728441803*^8}"
308,"{9.138702036951468*^8}"
309,"{9.135988879052736*^8}"
310,"{9.133276254693477*^8}"
311,"{9.130564163821568*^8}"
312,"{9.12785260638488*^8}"
313,"{9.125141582331288*^8}"
314,"{9.122431091608661*^8}"
315,"{9.119721134164876*^8}"
316,"{9.117011709947804*^8}"
317,"{9.114302818905318*^8}"
318,"{9.111594460985291*^8}"
319,"{9.108886636135597*^8}"
320,"{9.106179344304107*^8}"
321,"{9.103472585438696*^8}"
322,"{9.100766359487237*^8}"
323,"{9.0980606663976*^8}"
324,"{9.095355506117661*^8}"
325,"{9.092650878595293*^8}"
326,"{9.089946783778367*^8}"
327,"{9.087243221614757*^8}"
328,"{9.084540192052336*^8}"
329,"{9.081837695038977*^8}"
330,"{9.079135730522553*^8}"
331,"{9.076434298450937*^8}"
332,"{9.073733398772001*^8}"
